ID,POSITION,START_POSITION,THRU,TOTAL,TODAY,TOTAL_SCORE,ROUND1,ROUND2,ROUND3,ROUND4,TIME_UPDATED,TOURNAMENT,ENTRY,PRO,ODDS,RANK
3939,CUT,-,-,15,,155,78,77,,,14-AUG-11 07.01.43.239000000 PM,4,,5029,,
3940,CUT,-,-,20,,160,81,79,,,14-AUG-11 07.01.43.506000000 PM,4,,5030,,
3941,CUT,-,-,16,,156,76,80,,,14-AUG-11 07.01.43.258000000 PM,4,,5031,,
3942,CUT,-,-,15,,155,77,78,,,14-AUG-11 07.01.43.184000000 PM,4,,5032,,
3943,CUT,-,-,18,,158,75,83,,,14-AUG-11 07.01.43.434000000 PM,4,,5033
3945,CUT,-,-,19,,159,75,84,,,14-AUG-11 07.01.43.450000000 PM,4,,5035
3946,CUT,-,-,11,,151,77,74,,,14-AUG-11 07.01.42.460000000 PM,4,,5036
3947,T69,19,F,12,8,292,73,71,70,78,14-AUG-11 07.01.38.532000000 PM,4,,5037
3948,CUT,-,-,14,,154,78,76,,,14-AUG-11 07.01.42.931000000 PM,4,,5038
3949,CUT,-,-,10,,150,78,72,,,14-AUG-11 07.01.42.145000000 PM,4,,5039
3950,CUT,-,-,21,,161,80,81,,,14-AUG-11 07.01.43.612000000 PM,4,,5040
3951,CUT,-,-,8,,148,74,74,,,14-AUG-11 07.01.41.554000000 PM,4,,5041
3952,CUT,-,-,8,,148,72,76,,,14-AUG-11 07.01.41.654000000 PM,4,,5042
3953,CUT,-,-,13,,153,72,81,,,14-AUG-11 07.01.42.713000000 PM,4,,5043
3954,CUT,-,-,21,,161,82,79,,,14-AUG-11 07.01.43.560000000 PM,4,,5044
3935,CUT,-,-,5,,145,69,76,,,14-AUG-11 07.01.39.282000000 PM,4,,5025
3936,CUT,-,-,16,,156,73,83,,,14-AUG-11 07.01.43.274000000 PM,4,,5026
